collective,procs,my_mpi_time,mpi_time
bcast,1,0.000000008,0.000000007
reduce,1,0.000000041,0.000000031
allreduce,1,0.000000081,0.000000024
scatter,1,0.000000019,0.000000057
gather,1,0.000000020,0.000000051
barrier,1,0.000000008,0.000000005
bcast,2,0.000000160,0.000000107
reduce,2,0.000000191,0.000000134
allreduce,2,0.000000469,0.000000272
scatter,2,0.000000105,0.000000097
gather,2,0.000000112,0.000000126
barrier,2,0.000000178,0.000000173
bcast,4,0.000000206,0.000000172
reduce,4,0.000000317,0.000000278
allreduce,4,0.000000855,0.000000559
scatter,4,0.000000253,0.000000238
gather,4,0.000000342,0.000000237
barrier,4,0.000000483,0.000000541
bcast,8,0.000000679,0.000000377
reduce,8,0.000002031,0.000000655
allreduce,8,0.000003813,0.000002808
scatter,8,0.000001581,0.000000804
gather,8,0.000001319,0.000000572
barrier,8,0.000002033,0.000003780
